0,1,2,3
Marion Police Department,KS,1-5,This organization did not respond to a request for comment.
Merriam Police Department,KS,101-500,This organization did not respond to a request for comment.
Mission Police Department,KS,51-100,This organization did not respond to a request for comment.
Olathe Police Department,KS,101-500,“We do not use that program.” —spokesperson
Overland Park Police Department,KS,51-100,"“The City of Overland Park Police Department does not have an official Clearview App account. Several of our officers have looked into the free trial period, in an effort to explore the potential for it to be used in solving crimes and missing person cases.” —Frank Donchez, police chief"
Paola Police Department,KS,11-50,“This is not a tool that we ... have used.” —spokesperson
Park City Police Department,KS,11-50,"“One officer in our department tried the free trial version of Clearview AI earlier this year. He did this without prior approval from the department, but he said he was intending to try it to see if it might be a useful tool. This came to the attention of our supervision (prior to your message), and the officer was instructed by his supervisor not to use it in any official capacity or by using any agency-owned equipment. The officer in question said he did not use it with any active or cold police department case, but he experimented with it to see how well it worked... The officer’s trial period began at the first of 2020, was downloaded on his work phone, and any use of the app stopped earlier this year when his work phone was upgraded to a newer model. The old phone was wiped when it was exchanged for the newer phone.” —Phil Bostian, police chief"
Prairie Band Potawatomi Tribal Police,KS,51-100,This organization did not respond to a request for comment.
Shawnee Police Department,KS,11-50,This organization did not respond to a request for comment.
Wichita Police Department,KS,1-5,“We don’t use AI.” —spokesperson
Boone County Sheriff’s Office,KY,6-10,"“The Boone County Sheriff’s Office does not subscribe to, nor do we use facial recognition as an investigative tool.” —Lt. Philip Ridgell"
Franklin Police Department,KY,51-100,This organization did not respond to a request for comment.
Kenton County Police Department,KY,1-5,This organization did not respond to a request for comment.
Kentucky Intelligence Fusion Center,KY,6-10,"“KOHS does not currently subscribe to Clearview AI, nor has it ever purchased a Clearview AI subscription.” —Mike Sunseri, deputy executive director"
Kentucky Office of Homeland Security,KY,11-50,"“KOHS does not currently subscribe to Clearview AI, nor has it ever purchased a Clearview AI subscription.” —Mike Sunseri, deputy executive director"
Kentucky Prosecutors Advisory Council,KY,11-50,"“PAC has not used the technology you referenced.” —Elizabeth Goss Kuhn, communications director"
Kentucky State Police,KY,11-50,"“We do not use Clearview AI.” —Sgt. Billy Gregory, spokesperson"
LaCenter Police Department,KY,1-5,This organization did not respond to a request for comment.
Lexington Police Department,KY,101-500,"“Only a few LPD (1 or 2) detectives evaluated Clearview AI during a free trial period. During the evaluation, it was determined that the LPD would not move forward with utilizing it for investigations. No arrests were made utilizing Clearview AI.” —Donnell Gordon, public information officer"
Louisville Metro Police Department,KY,101-500,"“We have used the software on a trial-basis. It is a supplementary investigative tool and no arrests were made based on the sole use of this software.” —Beth Ruoff, spokesperson"
Newport Police Department,KY,51-100,This organization did not respond to a request for comment.
Oak Grove Police Department,KY,51-100,This organization did not respond to a request for comment.
Owensboro Police Department,KY,6-10,"“I have checked with our investigators and we have never utilized this software.” —Andrew Boggess, public information officer"
St. Matthews Police Department,KY,101-500,"“We used it one time and it helped us identify a shoplifter, but we already had the name from someone else. We didn’t find it to be very useful so we stopped using it. Half the searches were on us to see what it would pull up. We were getting very poor results.” —Barry Wilkerson, police chief"
State of Kentucky,KY,51-100,This organization did not respond to a request for comment.
Acadia Parish Sheriff’s Office,LA,1-5,"“To my understanding, we have a deputy who obtained information from Clearview but have not confirmed at this time if the services were utilized.” —K.P. Gibson, sheriff"
Ascension Parish Sheriff’s Office,LA,51-100,This organization did not respond to a request for comment.
Assumption Parish Sheriff’s Office,LA,1-5,This organization did not respond to a request for comment.
Baton Rouge City Police Department,LA,101-500,This organization did not respond to a request for comment.
Breaux Bridge Police Department,LA,51-100,This organization did not respond to a request for comment.
Calcasieu Parish Sheriff’s Office,LA,101-500,"“The law is pretty clear that these types of things are not public record.” —Rob McCorquodale, counsel"
Covington Police Department,LA,11-50,This organization did not respond to a request for comment.
Denham Springs Police Department,LA,51-100,This organization did not respond to a request for comment.
Duson Police Department,LA,6-10,This organization did not respond to a request for comment.
East Baton Rouge Sheriff’s Office,LA,101-500,This organization did not respond to a request for comment.
Gretna Police Department,LA,101-500,This organization did not respond to a request for comment.
Jefferson Davis Sheriff’s Office,LA,6-10,"“The Jefferson Davis Parish Sheriff’s Office, in early 2020, was able to use the Clearview facial recognition tool on a trial basis. Deputies of the Jefferson Davis Parish Sheriff’s Office are not currently using Clearview. The trial basis use of Clearview did not result in any arrests.” —Cmdr. Ramby Cormier"
Jefferson Parish Sheriff’s Office,LA,1001-5000,This organization did not respond to a request for comment.
Kenner Police Department,LA,501-1000,This organization did not respond to a request for comment.
Lafayette Parish Sheriff’s Office,LA,101-500,This organization did not respond to a request for comment.
Lafayette Police Department,LA,11-50,This organization did not respond to a request for comment.
Louisiana Attorney General,LA,101-500,This organization did not respond to a request for comment.
Louisiana Department of Public Safety & Corrections,LA,11-50,This organization did not respond to a request for comment.
Louisiana State Analytical and Fusion Exchange,LA,1001-5000,"“We will not be able to provide specific information on our investigative tools and procedures.” —Nick Manale, public affairs supervisor"
Louisiana State Office of Alcohol and Tobacco Control,LA,11-50,"“At this time, ATC has no records responsive to your request.” —Linda Pham-Kokinos, attorney supervisor"
Louisiana State Police,LA,6-10,"“We will not be able to provide specific information on our investigative tools and procedures.” —Nick Manale, public affairs supervisor"
Louisiana State University Police Department,LA,1-5,"“That is not something our LSU Police Department uses or has used.” —Ernie Ballard III, media relations director"
Mandeville Police Department,LA,11-50,This organization did not respond to a request for comment.
Natchitoches Parish Sheriff’s Office,LA,11-50,This organization did not respond to a request for comment.
New Orleans City Park Police Department,LA,11-50,This organization did not respond to a request for comment.
New Orleans Police Department,LA,1001-5000,This organization did not respond to a request for comment.
Orleans Parish Sheriff’s Office,LA,51-100,This organization did not respond to a request for comment.
Plaquemines Parish Sheriff’s Office,LA,101-500,This organization did not respond to a request for comment.
Rayne Police Department,LA,6-10,This organization did not respond to a request for comment.
St. Charles Parish Sheriff’s Office,LA,101-500,This organization did not respond to a request for comment.
St. Martin Parish Sheriff’s Office,LA,6-10,"“We don’t use facial recognition at our agency.” —Ginny Higgins, public affairs commander"
St. Martinville Police Department,LA,1-5,This organization did not respond to a request for comment.
St. Tammany Parish Sheriff’s Office,LA,101-500,This organization did not respond to a request for comment.
Sulphur Police Department,LA,101-500,This organization did not respond to a request for comment.
Thibodaux Police Department,LA,6-10,This organization did not respond to a request for comment.
West Baton Rouge Sheriff’s Office,LA,51-100,This organization did not respond to a request for comment.
West Carroll Parish Sheriff’s Office,LA,11-50,This organization did not respond to a request for comment.
Agawam Police Department,MA,101-500,“We do not have Clearview Al or any other type of facial recognition software at this agency. We have on at least two occasions contacted other agencies to use facial recognition software for us.” —Lt. Edward D. McGovern
Attleboro Police Department,MA,11-50,This organization did not respond to a request for comment.
Berkshire County Sheriff’s Office,MA,51-100,This organization did not respond to a request for comment.
Boxborough Police Department,MA,101-500,"“We tested a trial version of Clearview AI some time ago… While it was interesting technology we did not find it to be a necessary product for us to purchase for future usage.” —Warren B. Ryder, police chief"
Braintree Police Department,MA,6-10,"“We do not use this technology or product.” —Mark Dubois, police chief"
Brewster Police Department,MA,11-50,"“After looking into it, it appears that two of our officers did receive some initial training on the Clearview AI system in 2019. The system was accessed for training purposes only at that time and has never been used for any police investigations. The Brewster Police Department no longer uses the system.” —Shannon C. Parks, spokesperson"
Brockton Police Department,MA,51-100,This organization did not respond to a request for comment.
Burlington Police Department,MA,11-50,This organization did not respond to a request for comment.
Cambridge Police Department,MA,101-500,"“Please note that the Cambridge Police Department did not and does not have any agreements or purchases of products from Clearview AI.” —Jeremy Warnick, communications director"
Drug Enforcement Administration: Worcester High Intensity Drug Trafficking Area Task Force,MA,6-10,"“The information you are seeking is not available to us.” —Jay Fallon, executive director"
Falmouth Emergency Communications Center,MA,11-50,This organization did not respond to a request for comment.
Falmouth Police Department,MA,11-50,“Yes [individuals at the agency used Clearview AI.]“ —Lt. Douglas DeCosta
Foxborough Police Department,MA,11-50,"“There were several officers who had a one-month free trial period with Clearview AI. There are no individuals at this department who are using Clearview AI. The department has never had an arrest associated with the use of Clearview AI.” —Robert A. Bolger, administrative assistant"
Lancaster Police Department,MA,51-100,"“To my knowledge we don’t [utilize] ANY facial recognition software.” —Edwin H. Burgwinkel, police chief"
Littleton Police Department,MA,11-50,"“I spoke with our Detective/Sergeant and learned that they did in fact download the app at the recommendation of a neighboring town’s detective. He stated the signed up for the week long free trial and never utilized it for a formal case or investigation. They just tested it out on each other.” —Jeff Patterson, deputy chief"
Lynn Police Department,MA,11-50,“I checked with our Criminal Investigation Division and our department does not have this software.” —Lt. Michael Kmiec
Massachusetts Attorney General’s Office,MA,1-5,This organization did not respond to a request for comment.
Massachusetts State Police,MA,101-500,This organization did not respond to a request for comment.
Methuen Police Department,MA,11-50,This organization did not respond to a request for comment.
New Bedford Police Department,MA,101-500,This organization did not respond to a request for comment.
"New England State Police Information Network, Regional Information Sharing Systems: Massachusetts",MA,11-50,This organization did not respond to a request for comment.
Norfolk County Sheriff’s Department,MA,1-5,This organization did not respond to a request for comment.
Norton Fire Department,MA,11-50,This organization did not respond to a request for comment.
Norton Police Department,MA,11-50,"“To my knowledge, we have not used this facial recognition software in the performance of our duties.” —Lt. Todd Jackson"
Oxford Police Department,MA,11-50,"“The department used Clearview in January 2020 regarding a fraud investigation. After the initial submission, we did not receive any identifications. No individuals were charged or arrested as a result of the Clearview search. This was our single encounter with Clearview. We no longer use, nor are we affiliated with the company.” —Anthony P. Saad, police chief"
Pittsfield Police Department,MA,101-500,"“Members of the Pittsfield Police Department Drug Unit had used the app in the past to assist with identifications, but as we understand it, the app is no longer supported by iOS. So, we aren’t currently using it.” —Lt. Gary Traversa"
Plainville Police Department,MA,11-50,This organization did not respond to a request for comment.
Plymouth Police Detective Division,MA,1-5,"“Clearview AI has never been used by the Plymouth MA Police Department... A number of years ago a company (I can’t remember off the top of my head) had pitched using facial technology, but we never purchased or used the product.” —Capt. Kevin Manuel"
Raynham Police Department,MA,11-50,This organization did not respond to a request for comment.
Rehoboth Police Department,MA,11-50,"“We do have individuals that use or have used Clearview AI. I know that some individuals currently have access to the product, but I am unsure if they are currently using the product. Finally, I don’t believe that any arrest(s) have been made based on the use of the product by the Rehoboth Police Department.” —Norman J. Todd, records access officer"
Revere Police Department,MA,51-100,This organization did not respond to a request for comment.
Salem Police Department,MA,6-10,“We do not currently use Clearview AI or any other facial recognition companies or products. We have been involved in webinars that show the advantages of these types of products.” —Capt. Frederick M. Ryan
Shrewsbury Police Department,MA,11-50,This organization did not respond to a request for comment.
Somerset Police Department,MA,51-100,“One of our detectives was offered a 30-day trial.” —department spokesperson
Somerset Police Department: Somerset Schools/Somerset Berkley Regional High School,MA,1-5,“One of our detectives was offered a 30-day trial.” —department spokesperson
Somerville Police Department,MA,1-5,This organization did not respond to a request for comment.
Springfield Police Department,MA,6-10,"“No one in our department to my knowledge has or currently uses Clearview.” —Cheryl C. Clapprood, police commissioner"
State of Massachusetts,MA,101-500,This organization did not respond to a request for comment.
Wakefield Police Department,MA,1-5,This organization did not respond to a request for comment.
Wellesley Police Department,MA,11-50,This organization did not respond to a request for comment.
Westfield Police Department,MA,1-5,This organization did not respond to a request for comment.
Worcester Police Department,MA,11-50,This organization did not respond to a request for comment.
Wrentham Police Department,MA,51-100,This organization did not respond to a request for comment.
Yarmouth Police Department,MA,11-50,"“We have one detective that has an account with Clearview ... The use of the program never led to an arrest for the department.” —Kevin Lennon, deputy chief"
Annapolis Police Department,MD,6-10,"“Sure !” —Edward Jackson, police chief"
Anne Arundel County,MD,51-100,This organization did not respond to a request for comment.
Baltimore County Police Department,MD,11-50,"“I do not believe we used that technology in that capacity.” —Vickie Warehime, director of public affairs"
Baltimore Police Department,MD,51-100,This organization did not respond to a request for comment.
Bladensburg Police Department,MD,11-50,This organization did not respond to a request for comment.
Calvert County Sheriff’s Office,MD,101-500,This organization did not respond to a request for comment.
Cecil County Sheriff’s Office,MD,51-100,This organization did not respond to a request for comment.
Charles County Sheriff’s Office,MD,1-5,This organization did not respond to a request for comment.
"Cumberland Police Department, Allegany County Narcotics Task Force",MD,1-5,This organization did not respond to a request for comment.
Frederick County Sheriff’s Office,MD,6-10,This organization did not respond to a request for comment.
Frederick Police Department,MD,51-100,This organization did not respond to a request for comment.
Gaithersburg Police Department,MD,1-5,This organization did not respond to a request for comment.
Harford County Sheriff’s Office,MD,101-500,This organization did not respond to a request for comment.
Howard County Police Department,MD,1001-5000,This organization did not respond to a request for comment.
Manchester Police Department,MD,11-50,This organization did not respond to a request for comment.
Maryland Department of Public Safety & Correctional Services: Warrant Apprehension Unit,MD,11-50,This organization did not respond to a request for comment.
Maryland State Police,MD,101-500,"“The Maryland State Police does not use this technology and I have no information regarding our use of it within the past two years by a member of our department.” —Greg Shipley, spokesperson"
Montgomery County Police Department,MD,101-500,This organization did not respond to a request for comment.
Mount Rainier Police Department,MD,11-50,This organization did not respond to a request for comment.
Ocean City Police Department,MD,1-5,This organization did not respond to a request for comment.
Prince George’s County Sheriff’s Office,MD,11-50,This organization did not respond to a request for comment.
Princess Anne Police Department,MD,1-5,This organization did not respond to a request for comment.
Riverdale Park Police Department,MD,101-500,This organization did not respond to a request for comment.
Salisbury Police Department,MD,101-500,This organization did not respond to a request for comment.
Washington County Sheriff’s Office,MD,101-500,This organization did not respond to a request for comment.
Wicomico County Sheriff’s Office,MD,11-50,This organization did not respond to a request for comment.
Bangor Police Department,ME,101-500,This organization did not respond to a request for comment.
Cape Elizabeth Police Department,ME,11-50,This organization did not respond to a request for comment.
Kennebunk Police Department,ME,101-500,“We tried this software on a trial basis and did not purchase it. We are not using this anymore and we had no arrests as a result of this software during our trial period.” —Lt. Eric O’Brien
Kennebunkport Police Department,ME,11-50,"“Don’t know what you speak of. Never been used for an investigation by this agency.” —Craig Sanford, police chief"
Knox County Sheriff’s Office,ME,11-50,This organization did not respond to a request for comment.
Lincoln County Sheriff’s Office,ME,51-100,This organization did not respond to a request for comment.
Old Orchard Beach Police Department,ME,1-5,"“The Old Orchard Beach Police Department does not currently utilize Clearview AI. Some time ago we did look into the system, however never followed through with any kind of implementation of its use. The program is not currently used nor has it been for any case work, thus no arrests were ever made by utilizing the program.” —Jeffrey Regan, detective"
Penobscot County Sheriff’s Office,ME,6-10,This organization did not respond to a request for comment.
Saco Police Department,ME,6-10,"“I learned one of my detectives was presented with a free trial for the product. The product did not result in any arrests or any investigative leads. We did not purchase the product nor will we purchase the product. We have no AI software.” —Jack Clements, police chief"
Waterville Police Department,ME,51-100,This organization did not respond to a request for comment.
Ann Arbor Police Department,MI,51-100,This organization did not respond to a request for comment.
Auburn Hills Police Department,MI,11-50,This organization did not respond to a request for comment.
Beverly Hills Department of Public Safety,MI,1-5,"“We do not have it.” —Richard Torongeau, director"
Blackman Township,MI,6-10,This organization did not respond to a request for comment.
Bloomfield Township Police Department,MI,101-500,This organization did not respond to a request for comment.
Dearborn Police Department,MI,501-1000,This organization did not respond to a request for comment.
Detroit Police Department,MI,11-50,This organization did not respond to a request for comment.
Eastpointe Police Department,MI,6-10,This organization did not respond to a request for comment.
Farmington Hills Police Department,MI,11-50,"“I have found no information of our Department’s use of this system.” —Jeff King, police chief"
Farmington Public Safety Department,MI,11-50,This organization did not respond to a request for comment.
Grosse Pointe Park Department of Public Safety,MI,101-500,"“It was determined the bureau did use the Clearview AI software earlier in the year as an investigative tool, after being given a free trial of the software. We currently do not use, subscribe or have access to the software. No arrests were made as a result of the use.” —spokesperson"
Gun Lake Tribe,MI,6-10,This organization did not respond to a request for comment.
Harper Woods Police Department,MI,101-500,This organization did not respond to a request for comment.
Hazel Park Police Department,MI,11-50,This organization did not respond to a request for comment.
Ingham County Sheriff’s Office,MI,11-50,This organization did not respond to a request for comment.
Keego Harbor Police Department,MI,6-10,"“A detective used Clearview AI to attempt to identity suspects in one crime.” —John P. Fitzgerald, police chief"
Kent County Sheriff’s Office,MI,11-50,This organization did not respond to a request for comment.
Macomb County Sheriff’s Office,MI,51-100,This organization did not respond to a request for comment.
Michigan State Police,MI,101-500,"“The Michigan State Police does not utilize Clearview AI for facial recognition. In the past, Clearview has provided to us demonstrations of their tool and we did participate in a trial of their product at one point in time, but we are not users of it.” —Shanon Banner, spokesperson"
Oakland County,MI,11-50,This organization did not respond to a request for comment.
Oakland County Sheriff’s Office,MI,11-50,This organization did not respond to a request for comment.
Redford Township Police Department,MI,6-10,This organization did not respond to a request for comment.
Rochester Police Department,MI,6-10,"“We have not used this tool or any software of this nature here in Rochester, Michigan.” —Steven Schettenhelm, police chief"
Royal Oak Police Department,MI,101-500,This organization did not respond to a request for comment.
Sault Tribe Police Department,MI,51-100,This organization did not respond to a request for comment.
St. Clair Shores Police Department,MI,101-500,"“We used a trial version of Clearview AI. We are no longer using it. We did not arrest anyone based upon that technology.” —Todd Woodcox, police chief"
Sterling Heights Police Department,MI,1-5,"“Our department [has] never used this software.” —Dale Dwojakowski, police chief"
Taylor Police Department,MI,11-50,"“We do not utilize any AI facial recognition software. We have had companies give us demonstrations but their software is too expensive.”—John Blair, police chief"
Warren Police Department,MI,101-500,This organization did not respond to a request for comment.
Wayland City Police Department,MI,101-500,This organization did not respond to a request for comment.
Blaine Police Department,MN,11-50,"“We have not used this technology therefore we have no experience to share.” —Capt. Mark Boerboom, public information officer"
Brooklyn Park Police Department,MN,11-50,"“[We] do not have this software. It’s possible one of our law enforcement partners, such as the [Bureau of Criminal Apprehension], uses this software.” —Amanda Sorenson, administrative assistant"
Burnsville Police Department,MN,1001-5000,This organization did not respond to a request for comment.
Carver County Sheriff’s Office,MN,6-10,This organization did not respond to a request for comment.
City of Cottage Grove Police Department,MN,101-500,This organization did not respond to a request for comment.
Cloquet Police Department,MN,1-5,This organization did not respond to a request for comment.
Columbia Heights Police Department,MN,11-50,This organization did not respond to a request for comment.
Coon Rapids Police Department,MN,51-100,This organization did not respond to a request for comment.
Dakota County Sheriff’s Office,MN,101-500,This organization did not respond to a request for comment.
Eagan Police Department,MN,101-500,"“We did have a have a free trial for a short time but did not have any success with it. We are not using that technology.” —Aaron Machtemes, patrol officer"
Eden Prairie Police Department,MN,11-50,"“[Used Clearview] In a trial demonstration mode.” —Gregory Weber, police chief"
Edina Police Department,MN,1-5,This organization did not respond to a request for comment.
Fridley Police Department,MN,51-100,"“Our Investigations Division ... did use Clearview AI software earlier this year on a short trial basis. After the trial period, we stopped using the software. According to the detectives, the Clearview AI software did not lead to any arrests and they tested it on still images of suspects.” —Andrew P. Todd, administrative sergeant"
Gilbert Police Department,MN,11-50,This organization did not respond to a request for comment.
Goodhue Police Department,MN,6-10,This organization did not respond to a request for comment.
Hastings Police Department,MN,11-50,This organization did not respond to a request for comment.
Hennepin County Sheriff’s Office,MN,101-500,This organization did not respond to a request for comment.
Maple Grove Police Department,MN,1-5,This organization did not respond to a request for comment.
Maplewood Police Department,MN,101-500,This organization did not respond to a request for comment.
Marshall Police Department,MN,51-100,This organization did not respond to a request for comment.
Minneapolis Police Department,MN,101-500,This organization did not respond to a request for comment.
Minnesota Commerce Fraud Bureau,MN,51-100,"“The Commerce Fraud Bureau evaluated the software, but did not purchase and did not implement it.” —Brian Strub, assistant communications director"
Minnesota Fusion Center,MN,11-50,This organization did not respond to a request for comment.
Oakdale Police Department,MN,1-5,"“We had two officers indicate that they took a look at the trial offer, with one of the officers experimenting with a suspect identification that did not pan out and the other indicating that he does not recall actually using the system. They both state unequivocally that their usage did not result in any type of charges or arrests, nor have they been used since then.” —Bill Sullivan, police chief"
Pine County Sheriff’s Office,MN,11-50,This organization did not respond to a request for comment.
Plymouth Police Department,MN,11-50,"“We have had a number of officers that researched the product and looked into the software but none that have used it for official investigative case work and have not made any arrests as a result of using Clearview AI.” —Erik Fadden, police chief"
Prior Lake Police Department,MN,1001-5000,"“We were contacted by a sales rep at Clearview AI to try out a trial version. We had one officer use the trial and test the mobile application. Prior Lake PD did not purchase the program.” —Jennifer Black, public records supervisor"
Renville County Sheriff’s Office,MN,1-5,This organization did not respond to a request for comment.
Rock County Sheriff’s Office,MN,11-50,This organization did not respond to a request for comment.
Rogers Police Department,MN,51-100,This organization did not respond to a request for comment.
Sauk Rapids Police Department,MN,11-50,"“I don’t believe that we used that technology in the last two years.” —Perry Beise, police chief"
Shakopee Police Department,MN,11-50,This organization did not respond to a request for comment.
Sherburne County Sheriff’s Office,MN,1-5,This organization did not respond to a request for comment.
St. Louis Park Police Department,MN,1-5,"“Our agency briefly evaluated this product in 2020 as part of a free trial offering. The review determined this product would not be a fit for our agency and was not utilized for any case work. We do not currently use the product.” —Mike Harcey, police chief"
St. Paul Police Department,MN,11-50,This organization did not respond to a request for comment.
Stearns County Sheriff’s Office,MN,51-100,"“We tested for a 30 day trial run the use of Clearview. It was tried in our investigative division. We are not using Clearview. We opted to not continue with it after the free 30 day trial. We made no arrests using it.” —Steve Soyka, sheriff"
Stillwater Police Department,MN,1-5,"“Only 2 officers have used the Software for criminal case investigations. No Subscription, only a month trial base.” —Beth Wolf, city clerk"
University of Minnesota Police Department,MN,11-50,"“The University of Minnesota Police Department does not have a contract with Clearview AI. While some individual officers may have been offered trials of the software in the past, use of the program was not and is not part of regular business operations. The department does not plan to implement its use in the future.” —Lacey Nygard, assistant director of public relations"
Washington County Sheriff’s Office,MN,101-500,This organization did not respond to a request for comment.
Woodbury Police Department,MN,51-100,This organization did not respond to a request for comment.
Wright County Sheriff’s Office,MN,1-5,"“We are not aware of anyone at our agency ever using Clearview AI. As an Office, we have never had an account with Clearview AI.” —Matt Treichler, chief deputy"
Arnold Police Department,MO,6-10,This organization did not respond to a request for comment.
Blue Springs Police Department,MO,11-50,This organization did not respond to a request for comment.
Bridgeton Police Department,MO,11-50,This organization did not respond to a request for comment.
Cape Girardeau Police Department,MO,51-100,This organization did not respond to a request for comment.
Cassville Police Department,MO,11-50,This organization did not respond to a request for comment.
Creve Coeur Police Department,MO,11-50,This organization did not respond to a request for comment.
Dexter Police Department,MO,6-10,This organization did not respond to a request for comment.
Frontenac Police Department,MO,11-50,This organization did not respond to a request for comment.
Independence Police Department,MO,51-100,This organization did not respond to a request for comment.
Johnson County Sheriff’s Office,MO,51-100,This organization did not respond to a request for comment.
Kansas City Police Department,MO,101-500,"“We have spoken with our technology units that would deploy such assets. I know sales people reach out on a fairly regular basis. I’m sure that they use free trials, access to software and other sales techniques. I’m not sure how else to say that the Kansas City Police Department does not use facial recognition.” —Capt. Dave Jackson"
Lee’s Summit Police Department,MO,51-100,"“The Intelligence Unit was provided a free trial of Clearview AI [in fall 2019]. The free trial has since lapsed. Results have generated investigative leads, but have not led directly to any arrests.” —Chris Depue, public information officer"
Maryland Heights Police Department,MO,11-50,This organization did not respond to a request for comment.
Missouri Department of Public Safety,MO,51-100,"“The Missouri Department of Public Safety utilizes the Clearview AI program. In general terms the program has been utilized to identify both suspects and victims in criminal investigations.” —Mike O’Connell, communications director"
Platte County Sheriff’s Office,MO,1-5,“Clearview AI was used once near the end of 2019 as part of a free trial. The use case was trying to identify an individual that was involved in identity theft through the use of credit card skimmers. The search did not produce any results. That was the only time the software was used by our agency and we do not have any individuals who have used the software since then.” —Maj. Erik G. Holland
Polk County Sheriff’s Office,MO,1-5,This organization did not respond to a request for comment.
Poplar Bluff Police Department,MO,11-50,This organization did not respond to a request for comment.
Raytown Police Department,MO,11-50,"“We briefly explored the tool and chose not to subscribe to it. We are not using it, have not purchased a subscription to it, and no arrests have been made in connection with it.” —Capt. Dyon Harper"
Richmond Heights Police Department,MO,11-50,"“We have two detectives that signed up several years ago for a temporary account to ascertain the effectiveness of Clearview AI. Their accounts are no longer active. The Richmond Heights Police Department does not use Clearview AI and as such has never used it to forward or advance a case, and certainly never to make an arrest.” —Gerry Rohr, police chief"
St. Louis County Police Department,MO,101-500,"“We only used this product for a free trial period. We do not currently use the product.” —Tracy Panus, media relations officer"
St. Louis Police Department,MO,101-500,"“The St. Louis Metropolitan Police Department does not use Clearview AI.” —Michelle Woodling, public information officer"
St. Peters Police Department,MO,51-100,"“Our department does not use or have access to Clearview AI. In addition, those in charge of installing and purchasing software for the police department has never heard of this program.” —Melissa Doss, spokesperson"
Warrensburg Police Department,MO,6-10,"“We used this for facial recognition from video surveillance we had received. We are currently not using it. We were unable to make any arrest based on Clearview.” —Mike Fidler, detective sergeant"
West Plains Police Department,MO,51-100,"“The West Plains Police Department did use Clearview AI strictly on a trial basis to see if the Department wanted to continue using the tool. The West Plains Police Department never used Clearview AI as an investigative tool in any active or inactive criminal investigations. Subsequently, no arrests were made by the Department using the tool.” —John Murrell, public information officer"
Biloxi Police Department,MS,101-500,This organization did not respond to a request for comment.
City of Pearl,MS,51-100,This organization did not respond to a request for comment.
Clinton Police Department,MS,101-500,This organization did not respond to a request for comment.
Harrison County Sheriff’s Office,MS,11-50,This organization did not respond to a request for comment.
Hinds County Sheriff’s Office,MS,11-50,This organization did not respond to a request for comment.
Horn Lake Police Department,MS,1-5,"“It would be news to me to learn that we have used Clearview AI in the past.” —Troy C. Rowell, police chief"
Mississippi Department of Public Safety,MS,501-1000,"“MDPS uses the tool for those intended purposes.” —Jordan McMichael, general counsel"
Mississippi Department of Public Safety: Mississippi Bureau of Narcotics,MS,6-10,"“MDPS uses the tool for those intended purposes.” —Jordan McMichael, general counsel"
Ocean Springs Police Department,MS,51-100,This organization did not respond to a request for comment.
Oxford Police Department,MS,11-50,This organization did not respond to a request for comment.
Pearl River County Sheriff’s Office,MS,51-100,This organization did not respond to a request for comment.
Pike County Sheriff’s Office,MS,101-500,This organization did not respond to a request for comment.
Richland Police Department,MS,11-50,This organization did not respond to a request for comment.
Southaven Police Department,MS,51-100,This organization did not respond to a request for comment.
Walls Police Department,MS,6-10,This organization did not respond to a request for comment.
Gallatin County Sheriff’s Office,MT,1-5,This organization did not respond to a request for comment.
Great Falls Police Department,MT,51-100,This organization did not respond to a request for comment.
Missoula Police Department,MT,11-50,This organization did not respond to a request for comment.
Montana Fusion Center,MT,11-50,This organization did not respond to a request for comment.
Aberdeen Police Department,NC,11-50,"“We had a [breaking and entering incident] at a store that we attempted to use it for, the quality of the video surveillance was fine but not great by any means. All images came back without results. We also just messed around with it by using images of known frequent ... offenders. It worked with good quality images taken directly from Facebook, it would pull up the exact image used for identification. We just found that unless the quality of the image was great (unlike 90% of video surveillance we obtain), results came back inconclusive.” —Shannon Darling, detective"
Alamance County Sheriff’s Office,NC,11-50,This organization did not respond to a request for comment.
Asheville Police Department,NC,6-10,This organization did not respond to a request for comment.
Boiling Springs Police Department,NC,1-5,This organization did not respond to a request for comment.
Cabarrus County Sheriff’s Office,NC,101-500,This organization did not respond to a request for comment.
Cary Police Department,NC,501-1000,This organization did not respond to a request for comment.
Caswell County Sheriff’s Office,NC,6-10,This organization did not respond to a request for comment.
Chapel Hill Police Department,NC,51-100,"“The Chapel Hill Police Department had a short trial with Clearview AI in 2019 and decided not to use the tool. Employees at Chapel Hill Police are not using Clearview AI. No use of Clearview AI has led to an arrest by Chapel Hill Police.” —Ran Northam, spokesperson"
Charlotte-Mecklenburg Police Department,NC,1001-5000,This organization did not respond to a request for comment.
Chatham County Sheriff’s Office,NC,11-50,This organization did not respond to a request for comment.
Cherokee County Sheriff’s Office,NC,1-5,"“We do not have this tool nor have we ever had it.” —Derrick Palmer, sheriff"
City of Brevard,NC,1-5,This organization did not respond to a request for comment.
City of Burlington,NC,1-5,This organization did not respond to a request for comment.
City of Gastonia,NC,101-500,This organization did not respond to a request for comment.
Concord Police Department,NC,51-100,This organization did not respond to a request for comment.
Cornelius Police Department,NC,11-50,This organization did not respond to a request for comment.
Cumberland County Sheriff’s Office,NC,11-50,This organization did not respond to a request for comment.
Durham County Sheriff’s Office,NC,101-500,This organization did not respond to a request for comment.
Durham Police Department,NC,101-500,This organization did not respond to a request for comment.
Fayetteville Police Department,NC,1001-5000,This organization did not respond to a request for comment.
